User_ID,Session_ID,Page_Visited,Time_Spent_Seconds,Bounce,Traffic_Source,Device_Type,Country,Conversion
8270,1,Cart,83,Yes,Social Media,Mobile,Germany,No
1860,2,Home,492,No,Social Media,Mobile,USA,No
6390,3,Cart,248,No,Organic,Mobile,Germany,No
6191,4,Blog,212,Yes,Paid Ads,Desktop,India,Yes
6734,5,Home,91,No,Paid Ads,Mobile,USA,No
7265,6,Blog,43,Yes,Direct,Mobile,USA,No
1466,7,Cart,180,No,Referral,Desktop,India,No
5426,8,Checkout,482,No,Social Media,Mobile,USA,No
6578,9,Checkout,596,No,Social Media,Mobile,Canada,No
9322,10,Checkout,24,No,Organic,Mobile,USA,Yes
2685,11,Blog,225,No,Organic,Desktop,USA,Yes
1769,12,Checkout,279,Yes,Referral,Mobile,Germany,Yes
7949,13,Product,158,No,Organic,Mobile,UK,Yes
3433,14,Home,467,Yes,Organic,Mobile,India,No
6311,15,Home,413,No,Social Media,Mobile,India,No
6051,16,Cart,255,No,Referral,Mobile,India,No
7420,17,Contact,216,No,Social Media,Mobile,Germany,No
2184,18,Blog,482,No,Social Media,Mobile,USA,No
5555,19,Home,423,No,Organic,Mobile,UK,No
4385,20,Blog,176,No,Social Media,Desktop,Germany,No
7396,21,Cart,511,Yes,Referral,Desktop,UK,No
9666,22,Checkout,207,No,Organic,Mobile,Canada,No
3558,23,Contact,496,No,Referral,Mobile,Canada,No
8849,24,Cart,299,No,Paid Ads,Mobile,Germany,No
3047,25,Product,461,No,Referral,Desktop,Germany,Yes
3747,26,Checkout,150,No,Referral,Mobile,UK,No
1189,27,Checkout,242,No,Direct,Desktop,Germany,No
3734,28,Checkout,428,Yes,Referral,Mobile,USA,No
4005,29,Cart,296,Yes,Social Media,Tablet,Germany,No
5658,30,Product,160,Yes,Social Media,Mobile,Germany,No
2899,31,Contact,354,No,Organic,Mobile,USA,No
8734,32,Blog,446,No,Paid Ads,Tablet,India,No
2267,33,Cart,247,No,Organic,Desktop,India,No
2528,34,Home,211,Yes,Referral,Mobile,Canada,No
4556,35,Home,432,No,Referral,Desktop,Germany,No
4890,36,Cart,262,No,Social Media,Mobile,Canada,No
9838,37,Blog,589,No,Referral,Desktop,Germany,Yes
6393,38,Home,39,No,Referral,Mobile,USA,No
9792,39,Blog,133,Yes,Social Media,Tablet,UK,No
9433,40,Checkout,434,No,Paid Ads,Mobile,Germany,No
8513,41,Cart,323,No,Referral,Mobile,Canada,No
3612,42,Checkout,99,Yes,Direct,Desktop,Canada,No
8041,43,Home,224,No,Paid Ads,Desktop,Germany,No
7235,44,Blog,305,Yes,Paid Ads,Desktop,Canada,No
6486,45,Checkout,189,Yes,Social Media,Desktop,Canada,Yes
8099,46,Home,41,No,Organic,Tablet,USA,No
1775,47,Product,404,No,Referral,Desktop,Canada,No
